ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
14033642,JJ495333,2025-11-15 22:04:00,034XX N CLARK ST,0870,THEFT,POCKET-PICKING,RESTAURANT,False,False,1924,19,44.0,6.0,06,1168858.0,1923281.0,2025,11/23/2025 03:42:58 PM,41.945006581,-87.654745566,"(41.945006581, -87.654745566)"
14030057,JJ490867,2025-11-15 22:01:00,050XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1533,15,28.0,25.0,08B,1142666.0,1899551.0,2025,11/23/2025 03:42:58 PM,41.880417533,-87.751609318,"(41.880417533, -87.751609318)"
14031631,JJ492858,2025-11-15 22:00:00,133XX S HOUSTON AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,433,4,10.0,55.0,08A,1198766.0,1817048.0,2025,11/23/2025 03:42:58 PM,41.652796032,-87.548383716,"(41.652796032, -87.548383716)"
14030317,JJ491168,2025-11-15 22:00:00,018XX W CHICAGO AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,ALLEY,False,False,1212,12,36.0,24.0,14,1163960.0,1905374.0,2025,11/23/2025 03:42:58 PM,41.895973623,-87.673255236,"(41.895973623, -87.673255236)"
14030121,JJ490921,2025-11-15 22:00:00,063XX S DORCHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,314,3,20.0,42.0,08B,1186589.0,1863270.0,2025,11/23/2025 03:42:58 PM,41.779930114,-87.591480454,"(41.779930114, -87.591480454)"
14030859,JJ491406,2025-11-15 22:00:00,054XX S RIDGEWOOD CT,0810,THEFT,OVER $500,STREET,False,False,234,2,5.0,41.0,06,1186230.0,1869551.0,2025,11/23/2025 03:42:58 PM,41.797174172,-87.592598189,"(41.797174172, -87.592598189)"
14030689,JJ491641,2025-11-15 22:00:00,036XX W 62ND PL,0820,THEFT,$500 AND UNDER,STREET,False,False,823,8,23.0,65.0,06,1153133.0,1862924.0,2025,11/23/2025 03:42:58 PM,41.779707201,-87.714144609,"(41.779707201, -87.714144609)"
14031924,JJ492109,2025-11-15 22:00:00,021XX W HURON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1221,12,36.0,24.0,14,1161915.0,1904651.0,2025,11/23/2025 03:42:58 PM,41.894032581,-87.680786282,"(41.894032581, -87.680786282)"
14031850,JJ493065,2025-11-15 22:00:00,005XX E 33RD ST,0710,THEFT,THEFT FROM MOTOR VEHICLE,STREET,False,False,211,2,4.0,35.0,06,1180360.0,1883173.0,2025,11/23/2025 03:42:58 PM,41.834690813,-87.613705645,"(41.834690813, -87.613705645)"
14032103,JJ493176,2025-11-15 22:00:00,083XX S CONSTANCE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,412,4,8.0,45.0,08B,1189979.0,1850089.0,2025,11/23/2025 03:42:58 PM,41.743679412,-87.57947592,"(41.743679412, -87.57947592)"
14030570,JJ491538,2025-11-15 22:00:00,001XX W 108TH PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,513,5,9.0,49.0,07,1177361.0,1833009.0,2025,11/23/2025 03:42:58 PM,41.69710366,-87.626222859,"(41.69710366, -87.626222859)"
14030234,JJ490873,2025-11-15 22:00:00,012XX N DEARBORN ST,0820,THEFT,$500 AND UNDER,DRUG STORE,False,False,1824,18,2.0,8.0,06,1175711.0,1908536.0,2025,11/23/2025 03:42:58 PM,41.904394115,-87.630001432,"(41.904394115, -87.630001432)"
14036856,JJ499060,2025-11-15 22:00:00,0000X S ALBANY AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,1124,11,28.0,27.0,02,,,2025,11/23/2025 03:42:58 PM,,,
14030161,JJ490933,2025-11-15 22:00:00,007XX W GRAND AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,STREET,False,False,1214,12,27.0,24.0,03,1171076.0,1903685.0,2025,11/23/2025 03:42:58 PM,41.891185698,-87.647169423,"(41.891185698, -87.647169423)"
14031115,JJ491351,2025-11-15 22:00:00,012XX W GREENLEAF AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,2423,24,49.0,1.0,08B,1166910.0,1947102.0,2025,11/23/2025 03:42:58 PM,42.010414215,-87.661218616,"(42.010414215, -87.661218616)"
14031765,JJ492911,2025-11-15 22:00:00,033XX N DAMEN AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,BAR OR TAVERN,False,False,1922,19,32.0,5.0,02,1162420.0,1922334.0,2025,11/23/2025 03:42:58 PM,41.942545382,-87.678435639,"(41.942545382, -87.678435639)"
14030816,JJ491675,2025-11-15 22:00:00,068XX S OGLESBY AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,331,3,5.0,43.0,14,1192950.0,1859996.0,2025,11/23/2025 03:42:58 PM,41.770793071,-87.568267327,"(41.770793071, -87.568267327)"
14030056,JJ490856,2025-11-15 21:55:00,089XX S ANTHONY AVE,0560,ASSAULT,SIMPLE,RESIDENCE,False,True,423,4,7.0,48.0,08A,1194682.0,1846073.0,2025,11/23/2025 03:42:58 PM,41.732544814,-87.562375917,"(41.732544814, -87.562375917)"
